Breed_1,Size
Russian Hounds,M
Russian Sheepdogs,M
Saint Bernard,XL
Saint -German Setter,M
Saluki,M
Samoyed,M
Schapendoes,M
Schiller Hound,M
Schipperke,S
standard Schnauzer,M
Schnauzer,M
Scottish Deerhound,L
Scottish Terrier,S
Sealyham Terr,S
Shar-pei,M
Shar-pei Mix,M
Sheltie,M
Shepherd Mix,M
Shiba Inu,S
Shih Tzu,S
Shiloh Shepherd,L
Siberian Husky,M
Sicilian Hound,M
Silky Terrier,S
Skye Terrier,S
Sloughi,M
Slovakian Kuvasz,L
Smaland Hound,M
Small Blue Gascony Griffon,M
Small Munsterlanders,M
Small-sized French Setter,M
Spanish Greyhound,M
Spanish Hounds,M
Spanish Mastiff,L
Spanish Pointer,M
Springer Spaniel,M
St. Hubert Jura Hound,M
Stabyhoun,M
Staffordshire,M
Staffordshire Bull Terrier,S
Steinbracke,M
Stephens Stock,M
Sussex Spaniel,M
Swedish Vallhund,S
Tahltan Bear Dog,S
Tawny Brittany Bassett,M
Tawny Brittany Griffon,M
Teacup Poodle,S
Teacup Yorkie,S
Telomian,M
Thai Ridgeback,M
Tibetan Mastiff,L
Tibetan Spaniel,S
Tibetan Terrier,S
Toy Fox Terrier,S
Toy Poodle,S
Transylvanian Hound,L
Treeing Tennessee Brindle,M
Tyrolean Hound,M
Vizsla,M
Walker Hound,M
Weimaraner,L
Welsh Corgi - Cardigan,S
Welsh Corgi - Pembroke,S
Welsh Springer Spaniel,M
Welsh Terrier,M
West Highland,S
West Siberian Laika,M
Wetterhound,M
soft coated Wheaten Terrier,M
Whippet,S
Wire hair Fox Terrier,M
Wirehaired Pointing Griffon,M
Yorkshire Terrier,S
Yugoslavian Mountain Dog,M
